fast_ema,slow_ema,breakout_window,atr_stop_mult,take_profit_mult,max_hold_bars,atr_window,train_total_return,train_profit_factor,train_payoff_ratio,train_win_rate,train_total_trades,train_max_drawdown,train_avg_hold_hours,train_hit_27pct_symbols,train_near_liq_trades,train_gt5x_trade_pct,train_pnl_share_from_gt5x,profitable_symbols,symbols_tested,profitable_symbol_ratio,centrality_distance,passed_train_gate
10,50,20,1.5,1.5,24,14,-0.16935714259269596,inf,inf,0.44935705630829126,6013,0.3759278477636017,6.241094217305788,12,0,0.016667245131775154,0.021314668058514827,4,20,0.2,5.0,False
10,50,20,1.5,1.5,48,14,-0.16350605445034228,inf,inf,0.4510024923398627,5933,0.38898359189184617,6.8747497498004595,11,0,0.01830191197188098,0.021561565072423385,5,20,0.25,4.0,False
10,50,20,1.5,1.5,72,14,-0.16280587100705662,inf,inf,0.452045617885689,5990,0.39053552241006306,6.98759688750159,11,0,0.018294154839660057,0.02066105391956627,5,20,0.25,5.0,False
10,50,20,1.5,2.0,24,14,-0.15424987896986728,inf,inf,0.40106756281896977,6046,0.39801538377041157,7.698559469430971,10,0,0.016690565907317968,0.022230454786466555,6,20,0.3,4.5,False
10,50,20,1.5,2.0,48,14,-0.14812617448060544,inf,inf,0.39842471403266017,6212,0.39976017552589743,8.895408481028706,10,0,0.01625276266762346,0.0246202922608496,6,20,0.3,3.5,False
10,50,20,1.5,2.0,72,14,-0.14584897961911572,inf,inf,0.3956967563328215,6324,0.40529184201450186,9.31993064950477,9,0,0.017127076500091293,0.02487945149819633,6,20,0.3,4.5,False
10,50,20,1.5,3.0,24,14,-0.1300024330041603,0.9395095393254618,1.8075821848704554,0.3143395137708615,6673,0.359927724092465,10.54770231449042,7,0,0.012085483792418934,0.01609539036080049,5,20,0.25,5.5,False
10,50,20,1.5,3.0,48,14,-0.13358992654487736,0.9154982369923383,2.050244370029458,0.28665965263954485,6413,0.3624905958741546,13.055939511706688,8,0,0.01469872470672238,0.020076400335168325,5,20,0.25,4.5,False
10,50,20,1.5,3.0,72,14,-0.12394057660088076,0.9188851673516307,2.167057835379136,0.277271813019407,6402,0.3529546799337556,14.199019531780618,6,0,0.015157329019951708,0.020023087140500696,5,20,0.25,5.5,False
10,50,20,1.5,4.0,24,14,-0.1011576160259606,0.9940647015080917,1.9709220204098332,0.3040950083657682,6560,0.4047851428609617,11.707771461718337,6,0,0.014169605585821008,0.01848092542161093,5,20,0.25,6.5,False
