fast_ema,slow_ema,breakout_window,atr_stop_mult,take_profit_mult,max_hold_bars,atr_window,train_return,train_pf,train_trades,valid_return,valid_pf,valid_trades,valid_win_rate,valid_payoff,valid_dd,rank_pf,ok
20,96,64,2.8,4.0,96,14,0.011357687323117425,1.626153319490072,73,7.070600019785325e-05,1.1462661590515673,4,0.75,0.38208871968385577,0.00048329307001629206,1.1462661590515673,True
12,64,32,2.4,4.0,96,14,0.007506862078935088,1.1770742589878485,132,0.00041375265886965716,1.1103140814631707,13,0.38461538461538464,1.7765025303410733,0.0017580799681385449,1.1103140814631707,True
12,64,32,2.8,4.0,96,14,0.015103747746544568,1.456606779870298,123,0.00018463651850549937,1.0500639449669424,13,0.38461538461538464,1.680102311947108,0.0017603027700655387,1.0500639449669424,True
20,96,64,3.2,4.0,96,14,0.010041043257444234,1.6057688335010145,72,1.2075088247791975e-05,1.0250259372549826,4,0.75,0.3416753124183275,0.00048240270692768186,1.0250259372549826,True
12,64,32,3.2,3.5,96,14,0.012456839495989061,1.5246024437139776,102,5.854027317426038e-05,1.019959996201956,10,0.4,1.5299399943029344,0.0014398384930350602,1.019959996201956,True
12,64,32,3.2,3.5,48,14,-0.001752713324225325,0.9397150731545981,124,-7.661348568415611e-05,0.9698187836742757,10,0.3,2.2629104952399763,0.0025370548112257276,0.9698187836742757,False
12,64,32,2.8,3.5,96,14,0.007203516870116526,1.2458387345141784,107,-9.157280985528835e-05,0.9662573675200078,9,0.3333333333333333,1.9325147350400154,0.0014669945062511585,0.9662573675200078,False
12,64,32,3.2,3.5,64,14,0.0073620474399671496,1.2713771022537583,112,-0.00023408202988234544,0.9162165800121909,10,0.3,2.1378386866951122,0.0027920862623441794,0.9162165800121909,False
12,64,32,2.4,4.0,64,14,0.004378816951786965,1.0986964819382683,141,-0.0006199386269126947,0.8520468012391907,14,0.35714285714285715,1.5336842422305434,0.00324391272346611,0.8520468012391907,False
12,64,32,2.8,4.0,64,14,0.009281132302026481,1.2532086851871187,135,-0.0007878374880339601,0.8099265932322245,14,0.35714285714285715,1.457867867818004,0.0037388940419635216,0.8099265932322245,False
16,96,64,3.2,4.0,96,14,0.009820773668488554,1.5480939845652946,77,-0.00012384026903887566,0.7997467571475985,5,0.6,0.5331645047650656,0.0006182898303538764,0.7997467571475985,False
12,64,32,2.8,6.0,96,14,0.013800624637450463,1.437513472823322,119,-0.0009006733625016846,0.7775424833618328,16,0.4375,0.9996974786080709,0.00216168352892862,0.7775424833618328,False
12,64,32,2.8,5.0,96,14,0.012002806695818604,1.3580132181493838,123,-0.0009006733625016846,0.7775424833618328,16,0.4375,0.9996974786080709,0.00216168352892862,0.7775424833618328,False
12,64,32,2.4,4.0,48,14,-0.004454654120714948,0.904383406740152,152,-0.0009462767350221425,0.7751770623091069,14,0.2857142857142857,1.9379426557727675,0.003441145367915022,0.7751770623091069,False
12,64,32,2.4,5.0,96,14,0.01269670910928213,1.3173164328950646,128,-0.0010602010320830719,0.7688038111425012,16,0.375,1.281339685237502,0.0027283721665818297,0.7688038111425012,False
12,64,32,2.4,6.0,96,14,0.010559676526564872,1.2860457984836846,121,-0.0010602010320830719,0.7688038111425012,16,0.375,1.281339685237502,0.0027283721665818297,0.7688038111425012,False
8,48,24,2.4,5.0,64,14,0.008847123527889324,1.1785287916784943,163,-0.0018012230621819387,0.7658103999062592,27,0.3333333333333333,1.5316207998125184,0.0043798166645573474,0.7658103999062592,False
12,64,32,2.8,4.0,48,14,-0.0023485285357603657,0.9417729425451681,150,-0.0010069557937353896,0.7542169221005324,14,0.2857142857142857,1.8855423052513307,0.0038462170763478767,0.7542169221005324,False
8,48,24,2.4,5.0,48,14,-0.00582691262179694,0.8889686852317484,182,-0.001952766215642545,0.7465444057735731,28,0.32142857142857145,1.5760381899664322,0.004551166705196543,0.7465444057735731,False
12,64,32,3.2,4.0,96,14,0.013367797996606952,1.4814491639780945,115,-0.0010014039116654325,0.7255070938076345,13,0.38461538461538464,1.1608113500922153,0.001997521267083209,0.7255070938076345,False
8,48,24,2.4,5.0,96,14,0.014499415703755637,1.302540663193504,152,-0.002065523369357636,0.7173946437716154,26,0.3076923076923077,1.614137948486135,0.004591769318862898,0.7173946437716154,False
12,64,32,3.2,5.0,96,14,0.01235491286944819,1.4212149529727127,118,-0.0012323081801191163,0.6935149105107316,16,0.4375,0.891662027799512,0.0021837826734823224,0.6935149105107316,False
12,64,32,3.2,6.0,96,14,0.010194369283805297,1.347872069945937,118,-0.0012323081801191163,0.6935149105107316,16,0.4375,0.891662027799512,0.0021837826734823224,0.6935149105107316,False
12,64,32,2.8,6.0,64,14,0.006587476204188202,1.1702441305250058,139,-0.0015882433015969087,0.6474989356589406,17,0.4117647058823529,0.9249984795127723,0.003855173373237508,0.6474989356589406,False
12,64,32,2.8,5.0,64,14,0.00644998010086991,1.162521030984397,141,-0.0015882433015969087,0.6474989356589406,17,0.4117647058823529,0.9249984795127723,0.003855173373237508,0.6474989356589406,False
8,48,24,3.2,3.5,64,14,0.009145095631128676,1.27218298518241,134,-0.0016062817201905992,0.6297384702194154,16,0.25,1.8892154106582462,0.0038563658335463184,0.6297384702194154,False
20,96,64,2.4,4.0,96,14,0.012565486983451035,1.6157820152348308,74,-0.0003755406559154122,0.613292349238808,4,0.5,0.613292349238808,0.00048470492005008774,0.613292349238808,False
